professor_nome,ano,titulo
ADRIANA DA FONTE PORTO CARREIRO,2025,EFEITO DE DIFERENTES MÉTODOS DE REMOÇÃO DE MANCHAS EM RESINAS IMPRESSAS 3D PIGMENTADAS: UM ESTUDO IN-VITRO
ADRIANA DA FONTE PORTO CARREIRO,2024,"pH SALIVAR E SEU IMPACTO NA CITOTOXICIDADE, PROPRIEDADES MECÂNICA E SUPERFICIAIS DE RESINAS IMPRESSA E TERMOPOLIMERIZÁVEL PARA BASE DE PRÓTESE"
ADRIANA DA FONTE PORTO CARREIRO,2023,Avaliação in vitro da precisão de guias de transferência em próteses parciais removíveis utilizando técnicas convencionais e impressão 3d: estudo de acurácia
ADRIANA DA FONTE PORTO CARREIRO,2021,DELINEAMENTO CONVENCIONAL E DIGITAL DE ARCOS PARCIALMENTE DESDENTADOS PARA PLANEJAMENTO DE PRÓTESES PARCIAIS REMOVÍVEIS: ESTUDO DE ACURÁCIA
ADRIANA DA FONTE PORTO CARREIRO,2021,APLICATIVO PARA PLANEJAMENTO DE ESTRUTURAS METÁLICAS PARA PRÓTESE PARCIAL REMOVÍVEL: DESENVOLVIMENTO E IMPLANTAÇÃO
ADRIANA DA FONTE PORTO CARREIRO,2020,Próteses parciais removíveis confeccionadas por fluxo de trabalho digital: ensaio clínico controlado e randomizado
ADRIANA DA FONTE PORTO CARREIRO,2020,SOBREDENTADURA MANDIBULAR COM IMPLANTE ÚNICO: ESTUDO CLÍNICO CONTROLADO NÃO RANDOMIZADO
ADRIANA DA FONTE PORTO CARREIRO,2019,ESTUDO CLÍNICO COMPARATIVO ENTRE O ESCANEAMENTO INTRA-ORAL E EXTRA-ORAL EM PACIENTES REABILITADOS COM PROTOCOLOS MANDIBULARES
ADRIANA DA FONTE PORTO CARREIRO,2018,"IMPACTO DO TIPO DE SUPERFÍCIE OCLUSAL DE DENTES POSTERIORES NA SATISFAÇÃO, QUALIDADE DE VIDA E EFICIÊNCIA MASTIGATÓRIA DE USUÁRIOS DE PRÓTESES TOTAIS BIMAXILARES"
ADRIANA DA FONTE PORTO CARREIRO,2017,AVALIAÇÃO DOS FATORES QUE INFLUENCIAM A PERDA ÓSSEA PERIIMPLANTAR EM USUÁRIOS DE PRÓTESE TOTAL MANDIBULAR SOBRE IMPLANTES  Estudo transversal
ADRIANA DA FONTE PORTO CARREIRO,2016,"EFICIÊNCIA MASTIGATÓRIA, SATISFAÇÃO E OCORRÊNCIA DE ÚLCERAS APÓS A INSTALAÇÃO DE PRÓTESES TOTAIS CONVENCIONAIS EM USUÁRIOS E NÃO USUÁRIOS PRÉVIOS"
ADRIANA DA FONTE PORTO CARREIRO,2015,"AVALIAÇÃO DE UMA TÉCNICA DE IMPRESSÃO DE ÁREAS COMPRESSIVAS SOBRE A FREQUÊNCIA DE ULCERAÇÕES TRAUMÁTICAS, APÓS INSTALAÇÃO DE PRÓTESES TOTAIS CONVENCIONAIS"
ADRIANA DA FONTE PORTO CARREIRO,2014,PREVALÊNCIA DA PLACA LINGUAL EM PRÓTESES PARCIAIS REMOVÍVEIS INFERIORES DE EXTREMIDADE LIVRE BILATERAL E SUA CORRELAÇÃO COM A SAÚDE PERIODONTAL
ADRIANA DA FONTE PORTO CARREIRO,2013,AVALIAÇÃO DA SAÚDE PERIIMPLANTAR EM PACIENTES REABILITADOS COM SOBREDENTADURAS E PRÓTESE FIXA IMPLANTO-SUPORTADA
ADRIANA DA FONTE PORTO CARREIRO,2010,Prevalência e severidade de DTM em pacientes portadores de prótese total: uma correlação com a etiologia.
ADRIANA DA FONTE PORTO CARREIRO,2010,Influência das características clínicas dos rebordos alveolares na retenção das próteses totais.
ADRIANA DA FONTE PORTO CARREIRO,2008,Estudo clínico comparativo da eficiência mastigatória e qualidade de vida entre usuários de prótese total dupla e sobredentaduras implantosuportadas com antagonista prótese total convencional.
ADRIANO ROCHA GERMANO,2024,Estudo comparativo das complicações utilizando 2 técnicas de acesso transconjuntival no tratamento das fraturas orbitárias
ADRIANO ROCHA GERMANO,2024,AVALIAÇÃO DO COMPORTAMENTO DE FIXAÇÕES EM DIFERENTES OSTEOTOMIAS SAGITAIS DO RAMO MANDIBULAR POR MEIO DE ELEMENTOS FINITOS.
ADRIANO ROCHA GERMANO,2021,ESTUDO COMPARATIVO DE MÉTODOS DE ORIENTAÇÃO DA CABEÇA UTILIZANDO DIFERENTES SOFTWARES PARA O PLANEJAMENTO VIRTUAL DE CIRURGIAS ORTOGNÁTICAS
ADRIANO ROCHA GERMANO,2021,AVALIAÇÃO DE PARÂMETROS CLÍNICOS E CARDIOLÓGICOS EM PACIENTES COM E SEM CARDIOPATIAS SUBMETIDOS À CIRURGIA ORAL COM O USO DE ANESTÉSICO LOCAL COM VASOCONSTRICTOR.
ADRIANO ROCHA GERMANO,2017,SOBREVIVÊNCIA DOS IMPLANTES E ALTERAÇÕES FUNCIONAIS DO SEIO MAXILAR EM PACIENTES SUBMETIDOS A TÉCNICA DO SINUS LIFT
ADRIANO ROCHA GERMANO,2017,INFLUÊNCIA DA ALTERAÇÃO DO PLANO OCLUSAL NA RESISTÊNCIA MECÂNICA DA FIXAÇÃO NA OSTEOTOMIA SAGITAL DO RAMO MANDIBULAR: ESTUDO IN VITRO
ADRIANO ROCHA GERMANO,2014,Análise prospectiva do uso de antibióticos em cirurgias para instalação de implantes dentários osseointegrados
ADRIANO ROCHA GERMANO,2014,"Avaliação da dor, edema, movimentos mandibulares, eficiência mastigatória e qualidade de vida, utilizando dois protocolos para recuperação miofuncional em pacientes que se submeteram à cirurgia ortognática."
ADRIANO ROCHA GERMANO,2014,AVALIAÇÃO DE PARAMETROS CLÍNICOS EM PACIENTES CARDIOPATAS SUBMETIDOS AO USO DE ANESTÉSICO COM VASOCONSTRICTOR EM CIRURGIA BUCAL
ADRIANO ROCHA GERMANO,2013,ESTUDO EPIDEMIOLÓGICO DA SÍNDROME DA APNÉIA-HIPOAPNÉIA OBSTRUTIVA DO SONO (SAHOS) EM PACIENTES CANDIDATOS À CIRURGIA BARIÁTRICA E SUA RELAÇÃO COM A DEFORMIDADE DENTO-FACIAL
ADRIANO ROCHA GERMANO,2013,Avalição da eficácia da Profilaxia Antibiótica em Cirurgia Buco-Maxilo-Facial
ADRIANO ROCHA GERMANO,2013,"A relação entre a posição pré-operatória do nervo alveolar inferior e a parestesia, após osteotomia sagital do ramo mandibular"
ADRIANO ROCHA GERMANO,2013,Avaliação do Tratamento Cirúrgico do Ameloblastoma: Estudo Multicêntrico
ADRIANO ROCHA GERMANO,2013,Análise epidemiológica e do tratamento das fraturas do complexo zigomático-orbitário em pacientes atendidos no serviço de Cirurgia e Traumatologia Buco-Maxilo-Facial da Universidade Federal do Rio Grande do Norte.
ADRIANO ROCHA GERMANO,2013,"Análise epidemiológica e do tratamento das fraturas mandibulares dos pacientes atendidos no serviço de Cirurgia e Traumatologia Buco-Maxilo-Facial, da Universidade Federal do Rio Grande do Norte."
ADRIANO ROCHA GERMANO,2012,Avalição da eficácia da Profilaxia Antibiótica em Cirurgia Buco-Maxilo-Facial
ADRIANO ROCHA GERMANO,2011,Análise biomecânica e fotoelástica utilizando uma miniplaca retangular do sistema 2.0 mm em fraturas da região anterior da mandíbula
ADRIANO ROCHA GERMANO,2011,ESTUDO EPIDEMIOLÓGICO DA SÍNDROME DA APNÉIA-HIPOAPNÉIA OBSTRUTIVA DO SONO (SAHOS) EM PACIENTES CANDIDATOS À CIRURGIA BARIÁTRICA E SUA RELAÇÃO COM A DEFORMIDADE DENTO-FACIAL
ADRIANO ROCHA GERMANO,2010,Avaliação retrospectiva do uso de enxertos utilizados na Implantodontia
ADRIANO ROCHA GERMANO,2010,ANÁLISE DO USO DE IMPLANTES ZIGOMÁTICOS EM MAXILAS SEVERAMENTE REABSORVIDAS: RESULTADOS PRELIMINARES
ADRIANO ROCHA GERMANO,2009,Avaliação retrospectiva do uso de enxertos utilizados na Implantodontia
ALEX JOSE SOUZA DOS SANTOS,2015,Ocorrência de lesões cervicais não cariosas em pacientes atendidos nas Clínicas Integradas do Departamento de Odontologia/UFRN
ALEX JOSE SOUZA DOS SANTOS,2013,Influência da aplicação de um medicamento do tipo AINES simultaneamente ao clareamento de consultório sobre a hipersensibilidade dentária: estudo in vivo.
ALEX JOSE SOUZA DOS SANTOS,2010,EFEITO DO TPO DE GÉL PARA CLAREAMENTO CASEIRO-SUPERVISIONADO SOBRE A EFICIÊNCIA DO CLAREAMENTO E CARACTERÍSTICAS SUPERFICIAIS DO ESMALTE
AMANDA KATARINNY GOES GONZAGA,2025,ODONTOMAS: UM ESTUDO CLÍNICO-RADIOGRÁFICO EM UMA POPULAÇÃO BRASILEIRA
AMANDA KATARINNY GOES GONZAGA,2024,ANÁLISE DO CONHECIMENTO DOS CIRURGIÕES-DENTISTAS DO RIO GRANDE DO NORTE SOBRE O USO DO CIGARRO ELETRÔNICO E SEUS RISCOS PARA A SAÚDE BUCAL
AMANDA KATARINNY GOES GONZAGA,2024,AVALIAÇÃO DE TERAPIA FOTOBIOMODULADORA E FARMACOLÓGICA PARA ARDOR BUCAL
AMANDA KATARINNY GOES GONZAGA,2023,AVALIAÇÃO DO CONHECIMENTO SOBRE CÂNCER DE BOCA DE PACIENTES ATENDIDOS NAS CLÍNICAS-ESCOLA DE ODONTOLOGIA
AMANDA KATARINNY GOES GONZAGA,2021,Conhecimento e uso do cigarro eletrônico entre estudantes da Universidade Federal do Rio Grande do Norte
ANA MIRYAM COSTA DE MEDEIROS,2018,ESTUDO DA INFLUÊNCIA DO ESTRESSE OXIDATIVO E REPARO DO DNA NA PATOGÊNESE E RESPOSTA AO TRATAMENTO EM PACIENTES COM LÍQUEN PLANO
ANA MIRYAM COSTA DE MEDEIROS,2017,AVALIAÇÃO RADIOGRÁFICA DA PREVALÊNCIA DE DEFEITO ÓSSEO DE STAFNE
ANA MIRYAM COSTA DE MEDEIROS,2016,"FLUDROXICORTIDA 0,125 MG/G (DRENISON®) CREME COMO UMA TERAPIA ALTERNATIVA PARA QUEILITES ACTÍNICAS"
ANA MIRYAM COSTA DE MEDEIROS,2015,ANÁLISE DE ERROS RADIOGRÁFICOS COMETIDOS POR ALUNOS NA GRADUAÇÃO DA FACULDADE DE ODONTOLOGIA DA UFRN
ANA MIRYAM COSTA DE MEDEIROS,2015,ANÁLISE DA INFLUÊNCIA DO ESTADO PSICOLÓGICO COM OS SINTOMAS NA SÍNDROME DO ARDOR BUCAL
ANA MIRYAM COSTA DE MEDEIROS,2013,ANÁLISE DA INFLUÊNCIA DO ESTADO PSICOLÓGICO COM OS SINTOMAS NA SÍNDROME DO ARDOR BUCAL
ANA MIRYAM COSTA DE MEDEIROS,2012,MANIFESTAÇÕES BUCAIS EM PACIENTES COM DOENÇA CELÍACA ACOMPANHADOS NO HOSPITAL DE PEDIATRIA PROFESSOR HERIBERTO FERREIRA BEZERRA DA UFRN
ANA MIRYAM COSTA DE MEDEIROS,2012,ANÁLISE DA INFLUÊNCIA DO ESTADO PSICOLÓGICO COM OS SINTOMAS NA SÍNDROME DO ARDOR BUCAL
ANA MIRYAM COSTA DE MEDEIROS,2011,ARDOR BUCAL E SÍNDROME DO ARDOR BUCAL: LEVANTAMENTO TEMPORAL E ANÁLISE DA TERAPÊUTICA EMPREGADA DE CASOS RELATADOS NO SERVIÇO DE DIAGNÓSTICO ORAL DA UFRN
ANA MIRYAM COSTA DE MEDEIROS,2009,""" Influência do método de coleta na qualidade do esfregaço citológico de mucosa oral """
ANA MIRYAM COSTA DE MEDEIROS,2008,Diagnóstico precoce de Candida spp. em pacientes internados em Unidade de Terapia Intensiva Neonatal no município de Natal/RN.
ANA MIRYAM COSTA DE MEDEIROS,2008,""" Influência do método de coleta na qualidade do esfregaço citológico de mucosa oral """
ANA MIRYAM COSTA DE MEDEIROS,2007,Diagnóstico precoce de Candida spp. em pacientes internados em Unidade de Terapia Intensiva Neonatal no município de Natal/RN.
ANA PATRICIA DE QUEIROZ MEDEIROS DANTAS,2022,TRABALHO E SAÚDE DO/A TRABALHADOR/A: UM ESTUDO SOBRE A SAÚDE MENTAL DO/A(S) TRABALHADORE/A(S) DAS UNIDADES DE PRONTO ATENDIMENTO (UPAS) DE NATAL-RN
ANA RAFAELA LUZ DE AQUINO MARTINS,2025,EFEITO DA FOTOBIOMODULAÇÃO APÓS CIRURGIA DE AUMENTO DE COROA CLÍNICA EM ÁREA ESTÉTICA: UMA AVALIAÇÃO LONGITUDINAL DE 2 ANOS NOS FATORES CENTRADOS NO PACIENTE
ANA RAFAELA LUZ DE AQUINO MARTINS,2024,ALTURA DO TECIDO DE INSERÇÃO SUPRACRESTAL E O FENÓTIPO PERIODONTAL: UMA ANÁLISE CLÍNICA E TOMOGRÁFICA.
ANA RAFAELA LUZ DE AQUINO MARTINS,2024,EFEITOS DE UM GEL MUCOADESIVO CONTENDO LACTOBACILLUS RHAMNOSUS NA DOENÇA PERIODONTAL
ANA RAFAELA LUZ DE AQUINO MARTINS,2023,FOTOBIOMODULAÇÃO NA CICATRIZAÇÃO TECIDUAL E DOR PÓS-OPERATÓRIA APÓS CIRURGIA DE AUMENTO DE COROA CLÍNICA EM ÁREA ESTÉTICA
ANA RAFAELA LUZ DE AQUINO MARTINS,2022,DESENVOLVIMENTO DE UMA APLICAÇÃO PARA O AUXÍLIO NO DIAGNÓSTICO DE PERDA ÓSSEA PERIODONTAL EM RADIOGRAFIAS PERIAPICAIS VIA APRENDIZAGEM DE MÁQUINA
