pmid,doi,titulo,revista,ano,autores,abstract
22641440,10.1590/s1806-83242012000300006,In vitro evaluation of the root canal cleaning ability of plant extracts and their antimicrobial action.,Brazilian oral research,2012,Costa EM; Evangelista AP; Medeiros AC; Dametto FR; Carvalho RA,"This in vitro study evaluated both the antimicrobial activity and the root canal cleaning ability of plant extracts used in irrigation solutions. The antimicrobial activities of the aroeira-da-praia (Schinus terebintifolius Raddi) and the quixabeira (Syderoxylum obtusifolium Roem & Schult) hydroalcoholic extracts, of 2.5% sodium hypochlorite (NaOCl) and of 0.12% chlorhexidine (positive control) against Enterococcus faecalis were tested with the agar well diffusion method. The level of root canal cleanliness was examined by scanning electron microscopy (SEM). Twenty one single-rooted human teeth were divided into three groups according to the irrigation solution applied: 1) 50% aroeira-da-praia; 2) 50% quixabeira and 3) a combination of 2.5% sodium hypochlorite + 17% EDTA. All solutions tested demonstrated antimicrobial activity against Enterococcus faecalis. The SEM analysis revealed that higher and lower degrees of surface cleaning were observed, in the three groups, respectively for the coronal and apical thirds, in that quixabeira showed the greatest efficiency in removing the smear layer in the apical third. All the agents tested presented antimicrobial activity against E. faecalis. None, however, was able to completely remove the smear layer of the dentinal surface in the different thirds of the root canal. The results suggest that the analyzed plant extracts may represent a new therapeutic option in the list of alternative agents available for endodontic treatment."
38955598,10.1016/j.prosdent.2024.05.020,Impact of splinting implant-supported crowns on the performance of adjacent posterior implants: A systematic review and meta-analysis.,The Journal of prosthetic dentistry,2025,Pascoal ALB; Paiva KRG; Marinho LCN; Bezerra ADS; Calderon PDS,"STATEMENT OF PROBLEM: While rehabilitation with implant-supported crowns in the posterior region is widely practiced, guidance on clinical considerations when choosing between splinted or nonsplinted implant-supported crowns is limited. PURPOSE: The purpose of this systematic review with meta-analysis was to assess whether adjacent implants with internal connections in the posterior region should be treated with splinted or nonsplinted crowns. MATERIAL AND METHODS: The systematic review was registered on the prospective register of systematic reviews (PROSPERO) under the code, CRD42021248525. Two authors searched 4 electronic databases (PubMed, Cochrane Library, Scopus, and Web of Science) independently for articles published up to December 2023. Additionally, a hand search was conducted in the nonpeer-reviewed literature and the reference lists of included articles. Only clinical studies comparing splinted and nonsplinted hexagonal or conical internal connection adjacent implants in the posterior region were considered. A single-arm meta-analysis was conducted using RevMan. Risk of bias and quality were assessed using the Cochrane Collaboration's Tool for Assessing Risk and the Newcastle-Ottawa scale. RESULTS: Qualitative synthesis included 17 studies, and quantitative synthesis involved 13 studies. A total of 2085 implants (1244 splinted and 841 nonsplinted) were inserted in 1027 participants, with observation times ranging from 5 months to 16 years. Thirteen studies related the type of crown retention (cemented or screw-retained). Only 2 studies related annual bone loss results considering the type of crown retention, but whether they were splinted or nonsplinted crowns and significant differences were not specified. The meta-analysis revealed no statistical differences between splinted and nonsplinted implants for biological complications (P=.95, I2=0%). However, the nonsplinted implants exhibited significantly more mechanical complications than the splinted implants (P<.001, I2=1%, RR 0.37; 95% IC [0.26-0.54]). The studies included demonstrated a low risk of bias and were of good quality. CONCLUSIONS: Splinting was not found to affect the incidence of biological complications in posterior adjacent implants. However, more mechanical complications occurred in nonsplinted crowns than splinted ones."
33544722,10.1371/journal.pntd.0009085,Weaknesses in primary health care favor the growth of acquired syphilis.,PLoS neglected tropical diseases,2021,Santos MMD; Rosendo TMSS; Lopes AKB; Roncalli AG; Lima KC,"Acquired syphilis is a sexually transmitted infection that affects the general population and has been growing in recent years in many countries. A study was developed aiming to analyze the trends of acquired syphilis associated with sociodemographic aspects and primary health care in Brazil, in the period from 2011 to 2019. This study used secondary data from the national notification systems of the 5570 Brazilian cities and a database of 37,350 primary health care teams, as well as socioeconomic and municipal demographic indicators. The trends of acquired syphilis at the municipal level were calculated from the log-linear regression, crossing them with variables of primary health care and sociodemographic indicators. Finally, a multiple model was built from logistic regression. 724,310 cases of acquired syphilis have been reported. In primary care units, 47.8% had partial coverage and 74.1% had health teams with poor or regular scores. 52.6% had rapid test for syphilis partially available. Male and female condoms are available in 85.9% and 62.9% respectively and 54.4% had penicillin available in the health facility. The increase in trends of acquired syphilis was associated with better availability of the rapid test; lower availability of male condoms; lower availability of female condoms; lower availability of benzathine penicillin; partial coverage of the teams in primary health care; limited application of penicillin in primary health care; higher proportion of teams classified as Poor/Regular in primary health care; higher proportion of women aged 10 to 17 years who had children; higher HDI; higher proportion of people aged 15 to 24 years who do not study, do not work and are vulnerable; and population size with more than 100,000 inhabitants. The following variables remained in the multiple model: not all primary health care teams apply penicillin; higher proportion of primary health care teams with poor/regular scores; population size >100000 inhabitants; partially available female condom. Thus, the weakness of primary health care linked to population size may have favored the growth of the acquired syphilis epidemic in Brazilian cities."
35121264,10.1016/j.archoralbio.2022.105359,DNA damage through oxidative stress is an important event in oral leukoplakia.,Archives of oral biology,2022,Barros CCDS; Freitas RA; Miguel MCDC; Dantas da Silveira ÉJ,"OBJECTIVE: To evaluate the oxidative DNA damage, through 8-hydroxy-2'-deoxyguanosine (8-OHdG), and its repair by base excision repair pathway [Redox factor-1 (Ref-1); X-ray Repair Cross Complementing-1 (XRCC-1)] in different epithelial dysplasia degrees in oral leukoplakia. DESIGN: Forty-four cases of oral leukoplakia and 10 normal oral mucosa were quantified for 8-OHdG, Ref-1, and XRCC-1 through immunohistochemistry. RESULTS: Cytoplasmic 8-OHdG and nuclear XRCC-1 were significantly associated with multiple synchronous lesions (p = 0.048; p = 0.034, respectively). Nuclear Ref-1 was significantly associated with oral leukoplakia on the tongue (p = 0.027). A significantly gradual cytoplasmic 8-OHdG expression increase was observed between normal oral mucosa and epithelial dysplasia (p < 0.05). Nuclear Ref-1 expression was significantly lower (p < 0.01) in non-dysplasia/mild dysplasia, while its cytoplasmic expression was significantly higher in non-dysplasia/mild dysplasia compared to moderate/severe dysplasia and normal oral mucosa (p = 0.03; p < 0.0001, respectively). A significantly higher cytoplasmic XRCC-1 expression was observed in non-dysplasia/mild and moderate/severe dysplasia compared to normal oral mucosa (p < 0.0001; p < 0.0001, respectively). All epithelial dysplasia degrees showed a correlation between nuclear and cytoplasmic expression of these proteins (p < 0.05). CONCLUSIONS: 8-OHdG formation may not play a role in the development of multiple synchronous oral leukoplakias. However, it is related to the severity of the epithelial dysplasia. The subcellular level of Ref-1 implies different roles according to the degree of epithelial dysplasia. Cytoplasmic XRCC-1 expression indicates a possible failure of the DNA repair mechanism and occurs in early morphological stages of epithelial dysplasia."
18764995,10.1590/s1020-49892008000700007,[Scientific output trends in oral health in Brazil].,Revista panamericana de salud publica = Pan American journal of public health,2008,Dias AA; Narvai PC; Rêgo DM,"OBJECTIVE: To describe dental research trends in Brazil (especially population-based oral health) in the early Twenty-first Century. METHODS: The abstracts of studies presented at meetings of the Brazilian Society for Dental Medicine Research (Sociedade Brasileira de Pesquisa Odontológica) from 2001- 2006 were assessed in terms of methodological design (aggregate or population-based and individual-based studies, observational and intervention studies, cross-sectional and longitudinal studies); general type (literature review, studies with human subjects, and laboratory studies); and classification into one of the 19 specialty categories recognized by the Brazilian Federal Dentistry Council. Of the 10 406 abstracts presented in this period, 5 203 (50%) were reviewed. RESULTS: Concerning methodological design, 87.5% of the abstracts referred to individual-based studies, whereas 12.5% were of aggregate studies. Concerning the general category, 41.7% referred to studies with human subjects. The remaining abstracts (58.3%) described in vitro (31.1%) or in vivo (23.6%) laboratory research and literature reviews (3.6%). Concerning the Council's specialty categories, only five had a frequency higher than 10.0%: esthetic dentistry, periodontics, endodontics, pediatric dentistry, and population-based oral health. CONCLUSIONS: Brazil's scientific output in the field of oral health for the period 2001- 2006 was balanced, with increasing interest in the area of population-based oral health."
41458471,10.1016/j.jdsr.2025.11.005,Which is the best adhesive system for primary tooth enamel? A systematic review and network meta-analysis of bond strength data.,The Japanese dental science review,2026,Oliveira FJD; Silva Flor MLD; de Bessa MS; Barbosa BFS; Boa PWM; de Sousa-Lima RX; Borges BCD,"PURPOSE: Evaluate the bond strength performance of the different types of adhesive systems to the primary tooth enamel. METHODS: This study was registered in the Open Science Framework (https://doi.org/10.17605/OSF.IO/YURB4). A two-stage literature search was conducted by two independent reviewers on PubMed, Embase, Web of Science, Scopus, and gray literature to identify in vitro studies evaluating the bond strength of different adhesive systems to primary tooth enamel. The risk of bias was evaluated with the QUIN tool. A Bayesian network meta-analysis was conducted to evaluate the bond strength at 24 h. RESULTS: The final sample was composed of 14 articles. The 2-bottle universal adhesive system with phosphoric acid etching (PAE) was statistically similar to the 3-step etch-and-rinse (E&R). In addition, self-etch and etch-and-rinse adhesives with the same number of steps had similar performances. In the ranking, 3-step E&R had the highest probability of being ranked the best adhesive, while 1-step self-etch without PAE had the lowest. All studies had a low risk of bias. CONCLUSION: 2-bottle universal adhesive systems with PAE can probably provide similar bond strength to primary tooth enamel compared to 3-Step E&R. In addition, the similar performance of some of the tested adhesive systems indicates the possibility to reduce clinical steps."
19649502,10.1016/S1808-8694(15)30669-8,Calcifying epithelial odontogenic tumor of the maxilla.,Brazilian journal of otorhinolaryngology,2009,Nascimento GJ; Pereira KM; Nonaka CF; Medeiros AM; Galvão HC,N/A
33586115,10.1007/s10006-021-00947-x,Peripheral dentinogenic ghost cell tumor-report of two cases and review of the literature.,Oral and maxillofacial surgery,2021,da Silva Barros CC; de Souto Medeiros MR; de Azevedo RA; da Costa Miguel MC; Dos Santos JN; da Silveira ÉJD,"Peripheral dentinogenic ghost cell tumor (DGCT) is a rare and non-aggressive benign odontogenic tumor. They usually affect the elderly and are predominantly located in the anterior region of the jaws. Their differential diagnosis includes reactive/inflammatory gingival lesions. We report here two cases of peripheral DGCT in a 73-year-old female and a 48-year-old male patient and review the cases published in the literature. Both lesions presented as a nodular lesion in the mandible, and panoramic radiography showed no abnormalities. Microscopically, it was observed to be an ameloblastomatous epithelial proliferation associated with clusters of ghost cells and dysplastic dentin. Immunohistochemistry revealed positivity for cytokeratin 19 and a low Ki-67 proliferative index. Based on histopathological features and the absence of radiographic findings, a diagnosis of peripheral DGCT was rendered. The low number of cases published of peripheral DGCT makes case reports important in providing information that helps in their diagnoses and management."
21197486,N/A,Finite element stress analysis of edentulous mandibles with different bone types supporting multiple-implant superstructures.,The International journal of oral & maxillofacial implants,2010,de Almeida EO; Rocha EP; Freitas AC; Freitas MM,"PURPOSE: The purpose of this study was to evaluate the influence of different types of bone on the stress distribution in the mandibular bone supporting a prefabricated bar-type implant prosthesis using three-dimensional finite element analysis. MATERIALS AND METHODS: Four finite element models (M) of a completely edentulous mandibular arch were built. The bone types varied from type 1 to type 4 (M1, M2, M3, M4). The arch was restored using a prefabricated bar system supported by four interforaminal implants for the protocol prosthesis. Computer software was used to determine the stress fields. Three unilateral posterior loads (L) of 150 N were exerted on the prosthesis: L1, perpendicular to the prefabricated bar; L2, oblique (30 degrees) in the buccolingual direction; and L3, oblique (30 degrees) in the linguobuccal direction. The maximum principal stress (Omax) and the maximum principal strain (Emax) were obtained for cortical and trabecular bone. RESULTS: Types 3 and 4 bone showed the highest smax (MPa) in the cortical bone (19.9 and 18.2 for L1, 34.6 and 31.3 for L2, and 3.88 and 24.4 for L3, respectively). The maximum principal strain (Emax) was observed in type 4 cortical bone for all loads (1.80 for L1, 2.4 for L2, and 2.36 for L3). CONCLUSIONS: The cortical bone in M3 and M4 showed the highest stress concentration in the axial and buccolingual loading conditions. Bone types 1 and 2 showed the lowest stress concentrations. For the linguobuccal loading condition, the cortical bone in M4 showed the highest stress concentration, followed by bone types 3, 2, and 1. Cortical bone in M4 showed the highest strain for all loading conditions. The bone type might not be the only decisive factor to influence the stress distribution the bone supporting an implant prosthesis anchored by a prefabricated bar."
22567619,N/A,External apical root resorption in retracted incisors.,Orthodontics : the art and practice of dentofacial enhancement,2012,Simplicio H; da Silva JS; Caldas SG; dos Santos-Pinto A,"AIM: To evaluate the occurrence of external apical root resorption (EARR) in the incisors after anterior retraction in corrective orthodontic treatment with first premolar extractions and whether it was related with the type of root apex movement and its inclination. METHOD: The maxillary and mandibular incisors of 22 patients (12 to 25 years of age; 9 males and 13 females) were treated with fixed appliances and premolar extraction. EARR was defined as the difference in root length before and after incisal retraction on periapical radiographs. Distortion of radiographic images and changes due to incisal tipping were controlled for. Pre- and post-incisal retraction lateral cephalometric radiographs established the relationship between EARR and the tipping of the incisors, along with the vertical, horizontal, and total movement of the root apex. RESULTS: There was significant EARR (1.51 to 2.37 mm) during incisor retraction, but this was not related to the movement or the tipping of the root apex of almost all teeth. It was observed that after the retraction stage, EARR occurred in all evaluated incisors, but it was more significant (P < .05) in the mandibular right lateral incisor. CONCLUSION: The EARR that did occur was unrelated to movement or tipping of the root apex, except for the vertical root apex movement of the mandibular left central incisor and the inclination of the maxillary right lateral incisor."
