ISSN,Título,Estrato
1530-9932,AAPS PHARMSCITECH,A2
2316-9451,ABAKÓS,B3
0102-6720,ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA,A3
2357-8114,ABCS HEALTH SCIENCES,B2
2318-4965,ABCS HEALTH SCIENCES,B2
2366-0058,ABDOMINAL RADIOLOGY (ONLINE),A2
2997-2027,ACADEMIA MATERIALS SCIENCE (ONLINE),C
1076-6332,ACADEMIC RADIOLOGY,A1
2326-3253,ACG CASE REPORTS JOURNAL,B4
2160-6455,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,A2
2574-0970,ACS  APPLIED NANO MATERIALS,A2
2576-6422,ACS APPLIED BIO MATERIALS,A2
1944-8244,ACS APPLIED MATERIALS & INTERFACES (PRINT),A1
2373-9878,ACS BIOMATERIALS SCIENCE & ENGINNERING,A2
2161-1653,ACS MACRO LETTERS,A1
1948-5875,ACS MED CHEM LETT,A2
2470-1343,ACS OMEGA,A2
0094-5765,ACTA ASTRONAUTICA,A2
2358-3363,ACTA BIOLÓGICA CATARINENSE,B3
1742-7061,ACTA BIOMATERIALIA,A1
2236-0867,ACTA BIOMEDICA BRASILIENSIA,B3
0102-8650,ACTA CIRÚRGICA BRASILEIRA (IMPRESSO),A3
1678-2674,ACTA CIRÚRGICA BRASILEIRA (ONLINE),A3
0001-5547,ACTA CYTOLOGICA,A4
1651-2057,ACTA DERMATO-VENEREOLOGICA,A2
2182-3340,ACTA FARMACEUTICA PORTUGUESA,C
2317-0190,ACTA FISIÁTRICA,B2
0065-1281,ACTA HISTOCHEMICA (PRINT),A4
1852-4834,ACTA ODONTOLOGICA LATINOAMERICANA,B3
0326-4815,ACTA ODONTOLÓGICA LATINOAMERICANA,B3
1502-3850,ACTA ODONTOLOGICA SCANDINAVICA,A3
0001-6357,ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.),A3
1230-2821,ACTA PARASITOLOGICA,A4
1982-0194,ACTA PAUL DE ENFERM,A2
0103-2100,ACTA PAULISTA DE ENFERMAGEM,A2
1679-9291,ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO),B2
1807-8648,ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE),B2
2581-4893,ACTA SCIENTIFIC DENTAL SCIENCES,B3
2582-0931,ACTA SCIENTIFIC MEDICAL SCIENCES,B3
2581-3226,ACTA SCIENTIFIC MICROBIOLOGY,B1
2581-883X,ACTA SCIENTIFIC PAEDIATRICS,B3
0001-7019,ACTA STOMATOLOGICA CROATICA,A4
1846-0410,ACTA STOMATOLOGICA CROATICA (ONLINE),A4
0001-706X,ACTA TROPICA,A2
0001-7310,ACTAS DERMO-SIFILIOGRÁFICAS (ED. IMPRESA),A2
0192-4788,"ACTIVITIES, ADAPTATION AND AGING (PRINT)",A1
0964-5284,ACUPUNCTURE IN MEDICINE,A3
0965-2140,ADDICTION (ABINGDON. PRINT),A1
1527-2648,ADVANCED ENGINEERING MATERIALS,A3
1616-301X,ADVANCED FUNCTIONAL MATERIALS (PRINT),A1
2192-2659,ADVANCED HEALTHCARE MATERIALS,A1
2366-3987,ADVANCED THERAPEUTICS,A2
1899-5276,ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,A3
0065-2423,ADVANCES IN CLINICAL CHEMISTRY,A2
0001-8686,ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT),A1
2472-6389,ADVANCES IN DENTISTRY & ORAL HEALTH,B3
0065-2598,ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY,A1
2321-8568,ADVANCES IN HUMAN BIOLOGY,B4
2156-5376,ADVANCES IN NUTRITION,A1
2667-1476,ADVANCES IN ORAL AND MAXILLOFACIAL SURGERY,B3
2633-4690,ADVANCES IN PHARMACOLOGICAL AND PHARMACEUTICAL SCIENCES,A4
1043-4046,ADVANCES IN PHYSIOLOGY EDUCATION,A2
1522-1229,ADVANCES IN PHYSIOLOGY EDUCATION (ONLINE),A2
2452-1094,ADVANCES IN RADIATION ONCOLOGY,A3
2523-3106,ADVANCES IN RHEUMATOLOGY,A2
2572-8490,ADVANCES IN TISSUE ENGINEERING AND REGENERATIVE MEDICINE: OPEN ACCESS,B3
2421-7115,AESTHETIC MEDICINE (ONLINE),B4
2675-7311,AESTHETIC OROFACIAL SCIENCE,C
0364-216X,AESTHETIC PLASTIC SURGERY,A2
1432-5241,AESTHETIC PLASTIC SURGERY (ONLINE),A2
1090-820X,AESTHETIC SURGERY JOURNAL,A1
2631-4797,AESTHETIC SURGERY JOURNAL. OPEN FORUM,B4
1048-9959,AFTE JOURNAL,C
1360-7863,AGING & MENTAL HEALTH (PRINT),A1
1720-8319,AGING CLINICAL AND EXPERIMENTAL RESEARCH,A2
1368-5538,AGING MALE,A4
0954-0121,AIDS CARE (PRINT),A3
0269-9370,AIDS (LONDON),A3
0889-2229,AIDS RESEARCH AND HUMAN RETROVIRUSES,B1
1139-6121,AIDS REVIEWS,B1
2375-1495,AIMS BIOENGINEERING (ONLINE),B4
2666-4305,AJO-DO CLINICAL COMPANION,B4
0735-0414,ALCOHOL AND ALCOHOLISM (OXFORD),A3
1530-0277,ALCOHOLISM: CLINICAL AND EXPERIMENTAL RESEARCH,B3
1981-1330,ALETHEIA,A4
2179-4448,ALIMENTOS E NUTRIÇÃO (ONLINE),C
2359-6651,ALMANAQUE MULTIDISCIPLINAR DE PESQUISA,B2
1078-6791,ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,A4
2176-0675,AMAZÔNICA: REVISTA DE ANTROPOLOGIA (ONLINE),A2
2191-0855,AMB EXPRESS,A2
2156-6976,AMERICAN JOURNAL OF CANCER RESEARCH,A3
0894-8275,AMERICAN JOURNAL OF DENTISTRY,B1
0002-9262,AMERICAN JOURNAL OF EPIDEMIOLOGY,A1
1552-4825,AMERICAN JOURNAL OF MEDICAL GENETICS. PART A,B2
0002-9378,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY (PRINT),A1
0889-5406,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,A1
1097-6752,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS (ONLINE),A1
0090-0036,AMERICAN JOURNAL OF PUBLIC HEALTH (1971),A1
1073-449X,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,A1
1476-1645,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGINE,A2
